Epoch,Train_Loss,Train_Dice,Val_Loss,Val_Dice,Duration_sec,CPU_Time_sec,Peak_RAM_MB
1,0.6716,0.2410,0.5897,0.4725,14151.67,47327.33,758.92
2,0.5421,0.5258,0.5119,0.5091,13870.41,46961.63,797.84
3,0.4665,0.6155,0.4566,0.5098,13619.52,46364.86,775.50
4,0.3713,0.6401,0.3726,0.5557,13582.40,46329.58,742.38
5,0.2884,0.7025,0.3479,0.5457,13709.04,46774.43,725.86
6,0.2420,0.7723,0.3267,0.5123,14081.97,47925.24,722.25
7,0.1615,0.7884,0.2443,0.5619,14030.63,47820.10,714.64
8,0.1090,0.8113,0.2459,0.5283,14055.44,47928.72,716.77
9,0.1013,0.8145,0.2450,0.5228,13988.89,47864.48,706.34
10,0.0844,0.8428,0.2532,0.4891,14154.65,48375.71,719.83
11,0.0880,0.8350,0.2571,0.5164,14144.11,48247.26,695.41
12,0.0862,0.8373,0.2552,0.4598,13794.14,47013.31,704.09
13,0.0775,0.8530,0.2408,0.5426,13778.77,47223.85,702.94
14,0.0814,0.8453,0.2359,0.5554,13711.63,46969.76,701.11
15,0.0838,0.8411,0.2359,0.5579,13580.49,46573.29,696.92
16,0.0818,0.8448,0.2677,0.4666,13505.56,46311.23,699.45
17,0.0775,0.8530,0.2618,0.4489,13576.70,46331.35,688.64
18,0.0772,0.8533,0.2535,0.5103,13519.29,46432.59,688.61
19,0.0792,0.8493,0.2351,0.5245,13474.91,46415.45,688.12
20,0.0798,0.8489,0.2467,0.5018,13708.06,46765.20,689.44
21,0.0749,0.8578,0.2480,0.4950,13631.31,46693.51,682.61
22,0.0755,0.8565,0.2433,0.5261,13685.44,46561.37,687.77
