Epoch,Train_Loss,Train_Dice,Val_Loss,Val_Dice,Duration_sec,CPU_Time_sec,Peak_RAM_MB
1,0.4614,0.4256,0.3181,0.6400,64511.54,228146.66,834.81
2,0.2458,0.6195,0.2163,0.6577,62571.87,217261.36,819.94
3,0.1802,0.6851,0.2181,0.6236,62919.59,220646.39,804.97
4,0.1696,0.6991,0.2171,0.6409,63201.27,222091.20,808.06
5,0.1698,0.6960,0.2021,0.6732,63327.47,224565.10,815.73
6,0.1659,0.7021,0.2025,0.6577,63511.02,225424.25,815.73
7,0.1637,0.7052,0.2176,0.6658,62600.94,221942.38,807.73
8,0.1549,0.7195,0.2062,0.6720,61073.88,216492.81,795.55
9,0.1548,0.7207,0.2031,0.6612,60089.02,213205.37,791.89
10,0.1554,0.7189,0.2250,0.6225,59476.76,215289.04,788.11
11,0.1485,0.7302,0.2003,0.6604,60426.32,218421.61,786.09
12,0.1488,0.7309,0.1920,0.6674,58097.36,213306.96,758.41
13,0.1420,0.7414,0.2092,0.6609,58615.93,214145.46,761.39
14,0.1446,0.7372,0.1957,0.6668,58667.05,216131.09,748.00
15,0.1438,0.7390,0.2019,0.6440,57838.94,213184.22,756.02
16,0.1388,0.7473,0.1966,0.6657,59140.58,216737.68,754.48
17,0.1363,0.7524,0.1917,0.6664,59595.92,219642.93,760.53
18,0.1349,0.7543,0.1915,0.6717,59867.33,215117.38,746.11
19,0.1350,0.7546,0.2019,0.6841,61211.19,223502.61,745.86
20,0.1310,0.7619,0.1989,0.6595,62278.98,228185.72,745.23
21,0.1275,0.7671,0.1915,0.6868,60810.10,223227.18,740.86
22,0.1299,0.7628,0.1938,0.6812,59991.20,220190.17,741.12
23,0.1268,0.7689,0.1925,0.6692,59702.94,219552.73,741.12
24,0.1268,0.7686,0.1909,0.6841,59472.12,219235.91,741.06
25,0.1239,0.7741,0.1991,0.6595,58847.01,216915.12,741.19
26,0.1224,0.7770,0.2097,0.6234,59940.86,218619.27,749.00
27,0.1239,0.7740,0.1958,0.6831,59800.64,217538.10,741.08
28,0.1204,0.7800,0.1932,0.6748,59773.89,218719.75,741.08
29,0.1221,0.7772,0.2029,0.6698,60469.15,220547.68,741.08
30,0.1199,0.7813,0.2057,0.6390,60428.75,219941.57,741.08
31,0.1166,0.7867,0.1950,0.6755,60331.26,219926.76,741.08
32,0.1176,0.7850,0.1917,0.6814,60068.20,220149.52,740.89
33,0.1178,0.7852,0.2108,0.6539,61243.27,222943.24,740.05
34,0.1137,0.7918,0.1947,0.6724,61079.51,222856.73,752.28
35,0.1133,0.7929,0.1927,0.6761,61023.69,222684.97,734.47
36,0.1139,0.7918,0.1916,0.6736,61048.54,222880.19,730.39
