Epoch,Train_Loss,Train_Dice,Val_Loss,Val_Dice,Duration_sec,CPU_Time_sec,Peak_RAM_MB
1,0.7354,0.2154,0.6905,0.3339,3067.86,11552.90,715.95
2,0.6620,0.3809,0.6364,0.4584,2997.30,11338.72,764.28
3,0.6096,0.4718,0.5956,0.5179,2979.01,11270.85,764.28
4,0.5673,0.5093,0.5605,0.5475,2974.80,11254.32,772.28
5,0.5303,0.5279,0.5322,0.5648,2969.15,11234.18,758.28
6,0.4965,0.5443,0.5042,0.5854,2966.07,11222.21,764.30
7,0.4648,0.5620,0.4815,0.5824,2960.70,11197.87,764.33
8,0.4346,0.5898,0.4624,0.5694,2967.14,11226.18,764.36
9,0.4052,0.6194,0.4463,0.5655,2962.22,11206.83,772.30
10,0.3764,0.6463,0.4192,0.6027,2962.31,11208.67,772.42
11,0.3487,0.6786,0.4147,0.5782,2956.23,11181.72,764.36
12,0.3227,0.6812,0.3655,0.5755,2955.02,11179.66,772.30
13,0.2999,0.7059,0.3905,0.5771,2958.27,11192.04,764.30
14,0.2787,0.7583,0.3765,0.5880,2963.64,11213.62,780.30
15,0.2622,0.7548,0.3474,0.5734,2961.89,11205.40,765.30
16,0.2495,0.7626,0.3767,0.5706,2976.70,11240.06,758.30
17,0.2385,0.7779,0.3589,0.5793,2982.24,11275.15,758.30
18,0.2300,0.8096,0.3626,0.5703,2981.87,11275.85,764.30
19,0.2233,0.8017,0.3480,0.5938,2991.10,11307.02,758.30
20,0.2162,0.8635,0.3706,0.5713,3004.71,11359.11,764.30
21,0.2105,0.8787,0.3498,0.5760,2997.96,11337.24,764.31
22,0.2056,0.8845,0.3645,0.5985,2998.28,11325.16,772.31
23,0.1997,0.9089,0.3578,0.5991,3053.29,11540.91,764.31
24,0.1943,0.9044,0.3912,0.5328,2992.08,11312.81,756.31
25,0.1837,0.9093,0.3930,0.5167,2988.24,11295.52,774.19
